drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
40243436,914335,NA,NA,1,8576,1,8587,NA,1970-01-01,2099-12-31,NA
42707627,19003953,NA,NA,10,8576,NA,8587,NA,2010-08-01,2099-12-31,NA
46275916,1343916,NA,NA,1,8576,1,8587,NA,1970-01-01,2099-12-31,NA
19008572,975125,NA,NA,10,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19073183,1713332,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19073188,1713332,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
40174880,1501700,0.075,8576,NA,NA,NA,NA,NA,2010-01-31,2099-12-31,NA
40223768,715997,10,8576,NA,NA,NA,NA,NA,2010-08-01,2099-12-31,NA
40223774,715997,23,8576,NA,NA,NA,NA,NA,2010-08-01,2099-12-31,NA
40223834,1153428,60,8576,NA,NA,NA,NA,NA,2010-08-01,2099-12-31,NA
40224805,1500211,NA,NA,150,8576,1,8587,NA,1970-01-01,2099-12-31,NA
40232448,1129625,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
43012754,1589505,NA,NA,0.00354,8576,NA,8505,NA,1970-01-01,2099-12-31,NA
46233710,1738521,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19016749,19016749,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19018935,1326303,0.125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19019273,1115008,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19019979,1177480,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19074679,740275,NA,NA,20,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19074841,1768849,NA,NA,500,8576,12,8505,NA,1970-01-01,2099-12-31,NA
19074843,1768849,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19075001,1778162,250,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19075601,1322184,75,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19076374,723013,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
19077344,1396131,325,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19077572,757627,4,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19078219,19078219,NA,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
19078461,1177480,200,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
